changed_comp,multiplier,b6,T100,T365,T10000,logT10000,M10000,NK10000,CTL10000,B10000,t_to_1e5,t_to_1e6,t_to_1e5_plot,t_to_1e6_plot,auc_0_365,auc_0_1000,final_state
Tumor,1.0,4.2169874719003627e-7,4152.086513423203,9.743227001542978e6,9.743614997992227e6,6.988720159808584,487206.52180306386,716.8673832673625,15.766177898247275,205.16857199478503,235.0,250.0,235.0,250.0,9.864893384239833e8,7.1736807033568e9,tumor_dominant
Tumor,1.0,4.427190154051293e-7,3916.6397247676655,9.74182509977858e6,9.743183616907151e6,6.988700931775355,487184.9947186423,716.8989924408709,15.766871412762924,205.17763399377236,250.0,265.0,250.0,265.0,8.581310095344205e8,7.045038043336832e9,tumor_dominant
Tumor,1.0,4.6478707349102155e-7,3688.731737750865,9.736520294042183e6,9.742730711925166e6,6.98868074343715,487162.3935314769,716.9321817668626,15.767599605017365,205.18714899871333,265.0,280.0,265.0,280.0,7.024590966508095e8,6.889026512054482e9,tumor_dominant
Tumor,1.0,4.879551502585967e-7,3468.5092137496463,9.701283547696799e6,9.742255208002465e6,6.988659546736321,487138.6645936645,716.9670304759009,15.768363528689646,205.1971402653074,285.0,300.0,285.0,300.0,5.093585248513012e8,6.695250908539435e9,tumor_dominant
Tumor,1.0,5.122780779497939e-7,3256.0867488578974,9.290197957569098e6,9.741755976287432e6,6.988637291200255,487113.75157211686,717.0036217956712,15.769166692127337,205.20763032763304,310.0,325.0,310.0,325.0,2.657426983170892e8,6.446862383295933e9,tumor_dominant
Tumor,1.0,5.378134220099089e-7,3051.5475618188298,3.0119089137577354e6,9.741231831416175e6,6.988613923819004,487087.59531358216,717.0420431551161,15.770009768706979,205.21864523127527,345.0,360.0,345.0,360.0,2.3552043103323348e7,6.114306012348962e9,tumor_dominant
Tumor,1.0,5.646216173286177e-7,2854.9446246186603,19956.579927103627,9.740681528670387e6,6.9885893889166075,487060.1337028221,717.0823863992857,15.770894880282352,205.23021122494865,395.0,410.0,395.0,410.0,1.8299471205118117e6,5.639627762897291e9,tumor_dominant
Tumor,1.0,5.927661112721535e-7,2666.3018267382117,7082.713381478947,9.740103760991272e6,6.988563628015757,487031.30151358974,717.124748015432,15.771824329841468,205.24235582435074,470.0,485.0,470.0,485.0,1.3357359953111878e6,4.8880177911191025e9,tumor_dominant
Tumor,1.0,6.223135138451644e-7,2485.6155053140924,4692.875265215568,9.739497155841734e6,6.988536579695485,487001.0302520396,717.1692293709996,15.772800521030831,205.255107950017,620.0,635.0,620.0,635.0,1.1157935867156524e6,3.4347801605282316e9,tumor_dominant
Tumor,1.0,6.533337553376234e-7,2312.856001418156,3661.593187605666,9.738860271909095e6,6.9885081794414825,486969.24799217394,717.2159369641612,15.773825004825884,205.2684987704122,1145.0,1160.0,1145.0,1160.0,970326.6050123977,3.8756871602642606e6,tumor_dominant
Tumor,1.0,6.859002518299215e-7,2147.969431620265,3050.985072579931,3203.1233133663586,3.505709221920315,660.1561125453218,207081.83394155581,849.8083178507479,116258.16131299558,NaN,NaN,10000.0,10000.0,859737.8646696361,2.8697246686370145e6,intermediate
Tumor,1.0,7.200900789478258e-7,1990.8794827189477,2626.2984282089287,2665.1546631571177,3.4258853391541386,633.2577003494171,210430.70221571843,741.8656925947168,120011.04879035236,NaN,NaN,10000.0,10000.0,769619.5826021042,2.458189770564567e6,intermediate
Tumor,1.0,7.559841542785492e-7,1841.489283413274,2302.1205933051433,2315.2640419892336,3.364788065177447,615.7631693535519,212667.53142540142,665.4152304090467,122584.72603612435,NaN,NaN,10000.0,10000.0,693145.879328045,2.162342902512958e6,intermediate
Tumor,1.0,7.936674288796335e-7,1699.6832805467793,2039.9311156797844,2044.960112324079,3.3108971625303885,602.2479859745367,214428.39781186683,602.6949726010654,124649.84379658014,NaN,NaN,10000.0,10000.0,626550.3916940578,1.9247809264231315e6,intermediate
Tumor,1.0,8.33229088333924e-7,1565.329104885356,1819.7093484817,1821.7780056894082,3.2607337795848945,591.0888879649117,215904.42469269354,548.3533073480936,126408.13483308694,NaN,NaN,10000.0,10000.0,567535.6857472952,1.724250200668245e6,intermediate
Tumor,1.0,8.747627638264501e-7,1438.2793742528684,1629.9361199426994,1630.8285248646062,3.2126745204609195,581.5414201301624,217183.50794266965,499.9307258431454,127952.34736713649,NaN,NaN,10000.0,10000.0,514596.67338795867,1.5501286046901175e6,intermediate
Tumor,1.0,9.183667537427913e-7,1318.3734536737636,1463.4544250643066,1463.8523985811514,3.1657938665255108,573.1926076743599,218314.49153509733,456.0654534457354,129333.94222371514,NaN,NaN,10000.0,10000.0,466692.9879833828,1.3962213285986786e6,intermediate
Tumor,1.0,9.641442563133607e-7,1205.4390744164896,1315.5415532768857,1315.7232266714993,3.1194944964792684,565.7861442217609,219327.7241486383,415.91688559159024,130584.80822582978,NaN,NaN,10000.0,10000.0,423074.552216965,1.2585513082327694e6,intermediate
Tumor,1.0,1.0122036138542432e-6,1099.2939074348556,1182.9258595834256,1183.0103105095411,3.0733554842939133,559.1505103971133,220243.53212014787,378.92705454778826,131726.2274260241,NaN,NaN,10000.0,10000.0,383181.6991062455,1.1343899961979564e6,intermediate
Tumor,1.0,1.0626585691826105e-6,999.7469350096876,1063.2479414129832,1063.287708736291,3.0270590465926235,553.1643775982824,221076.28473405808,344.7056064481436,132773.17597769556,NaN,NaN,10000.0,10000.0,346584.57129831833,1.0217708237390454e6,intermediate
