direction,b5,b6,T,M,NK,CTL,B,logT,phase,newton_converged,residual_raw,residual_scaled,max_real_eig,stable
up,0.0001,2.354215717792758e-5,9.256491550883383e6,462896.56055857235,754.4315776318172,16.590289630175498,215.93876637577404,6.9664464559738715,tumor_dominant,true,7.785274647176266e-10,3.633104010402164e-14,-0.08639960916984923,true
up,0.0001,2.501295517784446e-5,9.224579932553658e6,461303.9243643288,757.0304257866602,16.64730055258056,216.68396457867837,6.9649466455288245,tumor_dominant,true,1.6370904631912708e-9,1.1565197925469473e-13,-0.085859363604943,true
up,0.0001,2.6575641390902075e-5,9.190543191664353e6,459605.2169506269,759.8221660290072,16.70854228964184,217.48448324069014,6.963341227647233,tumor_dominant,true,1.3096723705530167e-9,5.635321926128235e-14,-0.08528608336858279,true
up,0.0001,2.8235956539969818e-5,9.154229267231554e6,457792.8470052031,762.8234977887967,16.77438102495779,218.34511314702556,6.961621832553839,tumor_dominant,true,1.4260876923799515e-9,5.279627936350134e-14,-0.0846776922129964,true
up,0.0001,3.000000000000001e-5,9.115473563228222e6,455858.59723592096,766.0529326286505,16.845222664738113,219.27116516597053,6.95977928350403,tumor_dominant,true,1.3023964129388332e-9,7.518703977381169e-14,-0.08403196332352686,true
down,0.0001,2.4999999999999994e-7,9.747137895120975e6,487382.3238411307,716.6093496254604,15.760516688502902,205.09459656391687,6.988877154733448,tumor_dominant,true,1.2307737051742151e-9,6.014450142465481e-14,-0.09511125322010108,true
down,0.0001,2.6561876837369643e-7,9.746817484616784e6,487366.3345006616,716.6328103188642,15.76103142589944,205.1013224740151,6.988862878256771,tumor_dominant,true,1.5237446859828196e-9,6.564750236454584e-14,-0.09510526817200479,true
down,0.0001,2.822133204494382e-7,9.746477044656789e6,487349.34563569597,716.6577392686756,15.76157837740105,205.108469317105,6.98884770881677,tumor_dominant,true,1.2166765372967348e-9,4.380084715749742e-14,-0.09509890948792474,true
down,0.0001,2.998446183857244e-7,9.746115322378663e6,487331.29472484114,716.6842285331626,15.762159562794514,205.1160634853877,6.988831590491377,tumor_dominant,true,1.3781118468614295e-9,9.750451560053402e-14,-0.09509215386073751,true
down,0.0001,3.1857743295638923e-7,9.745730986451186e6,487312.115330863,716.7123759644223,15.762777128983936,205.1241330321109,6.988814463847471,tumor_dominant,true,1.5786554286023602e-9,6.8450517167942e-14,-0.09508497653210282,true
down,0.0001,3.384805814941199e-7,9.74532262214634e6,487291.7368547714,716.7422855758433,15.763433358053144,205.1327077769211,6.988796265719285,tumor_dominant,true,1.3931185094406828e-9,1.2086188193479322e-13,-0.09507735120147545,true
down,0.0001,3.5962718069952363e-7,9.744888726100627e6,487270.0842743861,716.7740679332416,15.764130675846918,205.14181941800044,6.988776928972679,tumor_dominant,true,3.325340003357269e-10,3.718906422486997e-14,-0.0950692499307098,true
down,0.0001,3.82094915244449e-7,9.744427700745095e6,487247.07786637294,716.8078405712394,15.764871661106335,205.15150165144163,6.988756382254361,tumor_dominant,true,8.28435986477416e-10,4.873682835537402e-14,-0.09506064304485089,true
down,0.0001,4.0596632315633076e-7,9.74393784838331e6,487222.63291071646,716.8437284365583,15.765659055194558,205.16179029834078,6.988734549725066,tumor_dominant,true,5.414904080680571e-10,9.991237421940642e-14,-0.09505149902001792,true
down,0.0001,4.3132909903193055e-7,9.743417364894511e6,487196.6593764853,716.8818643600499,15.766495772452904,205.17272344012744,6.988711350775646,tumor_dominant,true,4.948788046021946e-10,2.8110306679859694e-14,-0.09504178437333968,true
down,0.0001,4.582764161943911e-7,9.742864333038248e6,487169.061587699,716.9223895593642,15.767384911229266,205.1843415626806,6.98868669972496,tumor_dominant,true,1.1802967492258176e-9,2.395927250393233e-14,-0.09503146353802931,true
down,0.0001,4.869072689770628e-7,9.74227671533442e6,487139.7378680222,716.9654541743447,15.768329765624529,205.19668770982702,6.988660505498345,tumor_dominant,true,6.958771336940117e-10,3.763565311645497e-14,-0.09502049873556909,true
down,0.0001,5.173268363915514e-7,9.741652346491767e6,487108.58016291214,717.0112178373579,15.769333838005247,205.2098076468559,6.988632671285396,tumor_dominant,true,5.611582309938967e-10,5.716446833485421e-14,-0.09500884983953435,true
down,0.0001,5.496468685159386e-7,9.740988925355649e6,487075.47363777715,717.0598502809286,15.770400852334859,205.22375003472928,6.988603094175691,tumor_dominant,true,1.2114469427615404e-9,3.7215216219901056e-14,-0.09499647423149211,true
down,0.0001,5.83986097022652e-7,9.740284006344e6,487040.29625059833,717.1115319852395,15.771534768379553,205.2385666157239,6.988571664770977,tumor_dominant,true,1.7689671949483454e-10,7.867948762421132e-14,-0.09498332664332307,true
down,0.0001,6.204706713540754e-7,9.739534990338251e6,487002.9182973469,717.1664548682323,15.772739796848494,205.25431241128524,6.988538266772261,tumor_dominant,true,5.195488483877853e-10,5.2108772205462015e-14,-0.09496935899799011,true
