b6,tumor0,nk0,T365,Tfinal,logTfinal,final_regime,regime_code
1.5e-6,1.333521432163324e6,125.89254117941675,9.72146068961075e6,9.721460689612053e6,6.987731569042199,tumor_dominant,2
1.5e-6,1.9952623149688789e6,125.89254117941675,9.721460689610114e6,9.721460689612057e6,6.9877315690422,tumor_dominant,2
1.5e-6,2.985382618917957e6,125.89254117941675,9.721460689609293e6,9.721460689612066e6,6.9877315690422,tumor_dominant,2
1.5e-6,4.466835921509635e6,125.89254117941675,9.721460689614138e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,6.683439175686149e6,125.89254117941675,9.72146068961546e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,1.0e7,125.89254117941675,9.721460689612804e6,9.721460689612124e6,6.987731569042203,tumor_dominant,2
1.5e-6,1.0,158.48931924611142,473.7846845791848,473.7786393377934,2.676491171473774,controlled,0
1.5e-6,1.4962356560944334,158.48931924611142,473.7852024437868,473.77863597541983,2.6764911683981083,controlled,0
1.5e-6,2.2387211385683394,158.48931924611142,473.78583383413053,473.7786411977082,2.6764911731750947,controlled,0
1.5e-6,3.3496543915782766,158.48931924611142,473.7866223312839,473.7786393521238,2.6764911714868824,controlled,0
1.5e-6,5.011872336272722,158.48931924611142,473.78763047595106,473.77863986705796,2.6764911719579083,controlled,0
1.5e-6,7.498942093324558,158.48931924611142,473.78896657294746,473.7786412307936,2.676491173205359,controlled,0
1.5e-6,11.220184543019636,158.48931924611142,473.7908186142486,473.7786410775048,2.676491173065141,controlled,0
1.5e-6,16.788040181225607,158.48931924611142,473.7935585397802,473.7786408815922,2.6764911728859335,controlled,0
1.5e-6,25.118864315095795,158.48931924611142,473.7980073144344,473.778641046193,2.676491173036499,controlled,0
1.5e-6,37.583740428844415,158.48931924611142,473.8064481055514,473.7786425370012,2.6764911744001867,controlled,0
1.5e-6,56.23413251903491,158.48931924611142,473.82832107927993,473.77866435488687,2.676491194357671,controlled,0
1.5e-6,84.13951416451951,158.48931924611142,474.00066998679256,473.77872375748865,2.6764912486950334,controlled,0
1.5e-6,125.89254117941675,158.48931924611142,9.721460688892618e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,188.36490894898,158.48931924611142,9.721460689538542e6,9.721460689612059e6,6.9877315690422,tumor_dominant,2
1.5e-6,281.8382931264455,158.48931924611142,9.721460689593479e6,9.721460689612083e6,6.987731569042201,tumor_dominant,2
1.5e-6,421.6965034285823,158.48931924611142,9.721460689606695e6,9.721460689612055e6,6.9877315690422,tumor_dominant,2
1.5e-6,630.957344480193,158.48931924611142,9.721460689608343e6,9.721460689612119e6,6.987731569042203,tumor_dominant,2
1.5e-6,944.0608762859235,158.48931924611142,9.721460689612737e6,9.721460689612063e6,6.9877315690422,tumor_dominant,2
1.5e-6,1412.537544622754,158.48931924611142,9.721460689607006e6,9.72146068961208e6,6.987731569042201,tumor_dominant,2
1.5e-6,2113.489039836648,158.48931924611142,9.721460689613849e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,3162.2776601683795,158.48931924611142,9.72146068961066e6,9.721460689612174e6,6.9877315690422055,tumor_dominant,2
1.5e-6,4731.512589614803,158.48931924611142,9.721460689613277e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,7079.457843841381,158.48931924611142,9.721460689608335e6,9.72146068961208e6,6.987731569042201,tumor_dominant,2
1.5e-6,10592.537251772897,158.48931924611142,9.721460689615268e6,9.721460689612055e6,6.9877315690422,tumor_dominant,2
1.5e-6,15848.93192461114,158.48931924611142,9.721460689612623e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,23713.737056616552,158.48931924611142,9.721460689615253e6,9.72146068961206e6,6.9877315690422,tumor_dominant,2
1.5e-6,35481.33892335753,158.48931924611142,9.721460689611519e6,9.721460689612163e6,6.987731569042205,tumor_dominant,2
1.5e-6,53088.444423098794,158.48931924611142,9.721460689615462e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,79432.82347242821,158.48931924611142,9.721460689610934e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,118850.22274370189,158.48931924611142,9.721460689609103e6,9.721460689612068e6,6.9877315690422,tumor_dominant,2
1.5e-6,177827.94100389228,158.48931924611142,9.721460689608676e6,9.72146068961208e6,6.987731569042201,tumor_dominant,2
1.5e-6,266072.50597988087,158.48931924611142,9.721460689608892e6,9.721460689612107e6,6.987731569042202,tumor_dominant,2
1.5e-6,398107.1705534969,158.48931924611142,9.721460689613309e6,9.721460689612104e6,6.987731569042202,tumor_dominant,2
1.5e-6,595662.1435290109,158.48931924611142,9.721460689614974e6,9.721460689612066e6,6.9877315690422,tumor_dominant,2
1.5e-6,891250.9381337459,158.48931924611142,9.721460689608762e6,9.721460689612078e6,6.987731569042201,tumor_dominant,2
1.5e-6,1.333521432163324e6,158.48931924611142,9.721460689610083e6,9.721460689612057e6,6.9877315690422,tumor_dominant,2
1.5e-6,1.9952623149688789e6,158.48931924611142,9.721460689609379e6,9.721460689612065e6,6.9877315690422,tumor_dominant,2
1.5e-6,2.985382618917957e6,158.48931924611142,9.721460689608755e6,9.72146068961208e6,6.987731569042201,tumor_dominant,2
1.5e-6,4.466835921509635e6,158.48931924611142,9.721460689612878e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,6.683439175686149e6,158.48931924611142,9.721460689614829e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,1.0e7,158.48931924611142,9.721460689614894e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,1.0,199.52623149688787,473.78467905356683,473.77863951265726,2.676491171633727,controlled,0
1.5e-6,1.4962356560944334,199.52623149688787,473.7851962486282,473.7786370051252,2.6764911693400113,controlled,0
1.5e-6,2.2387211385683394,199.52623149688787,473.7858262234324,473.77864146734674,2.676491173421741,controlled,0
1.5e-6,3.3496543915782766,199.52623149688787,473.7866133284353,473.778639366846,2.676491171500349,controlled,0
1.5e-6,5.011872336272722,199.52623149688787,473.787618966457,473.77863974401953,2.6764911718453614,controlled,0
1.5e-6,7.498942093324558,199.52623149688787,473.78895184094887,473.77864017146123,2.6764911722363554,controlled,0
1.5e-6,11.220184543019636,199.52623149688787,473.79079857429633,473.7786411513363,2.6764911731326766,controlled,0
1.5e-6,16.788040181225607,199.52623149688787,473.79352914405376,473.7786410833908,2.676491173070525,controlled,0
